圖資名稱,製作說明,圖資類型,圖資坐標系統,上架年度,連結網址
臺灣本島更新範圍,航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/7141273f-e961-47eb-a9c0-dc9427a271af/臺灣本島更新範圍.zip
分幅_臺南市20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/71e497ed-1e93-4f60-bb3e-b6a5775b3127/分幅_臺南市20MDEM(2019).zip
分幅_臺東縣20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/6c1e0e74-5c07-4c6e-9046-583868b66e74/分幅_臺東縣20MDEM(2019).zip
分幅_臺北市20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/aeeaae5d-3d01-4a06-9e8d-0784500e1e12/分幅_臺北市20MDEM(2019).zip
分幅_臺中市20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,"https://www.tgos.tw/MDE/VirtualDir_TC/Product/764a3e37-d47e-4a2a-bc42-1636f4096a17/分幅_臺中市20MDEM(2019).zip"""
分幅_彰化縣20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/fcb4d047-102e-4a56-8141-16a8c7625218/分幅_彰化縣20MDEM(2019).zip
分幅_嘉義縣20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/cc788371-9d0d-44ad-a1fe-3f851bd20c8f/分幅_嘉義縣20MDEM(2019).zip
分幅_嘉義市20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/90905a8f-87eb-4941-83aa-799748a06f0b/分幅_嘉義市20MDEM(2019).zip
分幅_新竹縣20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/2e45f896-6d83-469b-b751-012a238d1b65/分幅_新竹縣20MDEM(2019).zip
分幅_新竹市20MDEM(2019),航空攝影測量,數值地表模型之三維坐標（N、E、h）資料,TWD97(N、E、H),2019年,https://www.tgos.tw/MDE/VirtualDir_TC/Product/54a11ea6-c42b-440c-9e97-e32ea4c909da/分幅_新竹市20MDEM(2019).zip
